ParkID,ACTIVITY
Twenty_Five_Mile_Creek,HIKING
Twin_Harbors,CAMPING
Twin_Harbors,BEACH
Twin_Harbors,BIRD
Twin_Harbors,FISHING
Twin_Harbors,HIKING
Twin_Harbors,HORSE
Upright_Channel,BEACH
Upright_Channel,BIRD
Upright_Channel,BOATING
Upright_Channel,FISHING
Wallace_Falls,CAMPING
Wallace_Falls,BIRD
Wallace_Falls,FISHING
Wallace_Falls,HIKING
Wallace_Falls,BIKING
Wanapum,CAMPING
Wanapum,BEACH
Wanapum,BIRD
Wanapum,BOATING
Wanapum,FISHING
Wanapum,INTERP
Wanapum,SCUBA
Wanapum,SWIMMING
Wanapum,WSKIING
Wanapum,HIKING
